0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
2,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
3,0,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
4,0,0,0,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
5,0,0,0,0,1,2,3,4,4,6,6,7,8,9,11,11,12,13,14,15,16,17,18,19,20,21,23,23,24
6,0,0,0,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,16,18,19,19,21,21,23,24
7,0,0,0,0,0,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
8,0,0,0,0,0,1,1,2,3,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
9,0,0,0,0,0,0,1,1,2,3,4,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
10,0,0,0,0,0,0,1,1,1,2,3,4,5,6,7,7,8,9,11,11,12,13,14,15,16,17,18,19,20
11,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,8,8,9,10,12,12,14,14,15,16,17,18,19
12,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,6,7,7,9,9,11,11,13,14,14,15,17,17,18
13,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,6,7,8,9,10,11,12,12,14,15,15,17,17
14,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,14,16,17
15,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,5,6,7,8,9,11,11,12,13,14,15,16
16,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,6,6,7,8,9,10,11,12,13,14,15
17,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,7,8,9,9,10,11,12,13,14
18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,7,8,9,10,10,11,12,13
19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,5,6,7,8,9,10,11,11,13
20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,5,6,7,8,9,10,10,12
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,5,6,6,7,8,9,10,11
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,5,6,7,7,8,9,10
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,5,6,7,8,8,9
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,4,5,6,7,8,9
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,6,7,8
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,4,4,5,5,7,7
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,4,4,5,6,6
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,4,5,5,6
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,4,4,5,5
