Atk:1, dfd:1, AtkRemAvg:0, DfdRemAvg:0, AtkSucAvg:0.417, DfdSucAvg:0.583
Atk:1, dfd:2, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.239, DfdSucAvg:0.761
Atk:1, dfd:3, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.131, DfdSucAvg:0.869
Atk:1, dfd:4, AtkRemAvg:0, DfdRemAvg:2, AtkSucAvg:0.078, DfdSucAvg:0.922
Atk:1, dfd:5, AtkRemAvg:0, DfdRemAvg:3, AtkSucAvg:0.046, DfdSucAvg:0.954
Atk:1, dfd:6, AtkRemAvg:0, DfdRemAvg:4, AtkSucAvg:0.026, DfdSucAvg:0.974
Atk:1, dfd:7, AtkRemAvg:0, DfdRemAvg:5, AtkSucAvg:0.016, DfdSucAvg:0.984
Atk:1, dfd:8, AtkRemAvg:0, DfdRemAvg:6, AtkSucAvg:0.005, DfdSucAvg:0.995
Atk:1, dfd:9, AtkRemAvg:0, DfdRemAvg:7, AtkSucAvg:0.005, DfdSucAvg:0.995
Atk:1, dfd:10, AtkRemAvg:0, DfdRemAvg:8, AtkSucAvg:0.004, DfdSucAvg:0.996
Atk:1, dfd:11, AtkRemAvg:0, DfdRemAvg:9, AtkSucAvg:0.002, DfdSucAvg:0.998
Atk:1, dfd:12, AtkRemAvg:0, DfdRemAvg:10, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:1, dfd:13, AtkRemAvg:0, DfdRemAvg:11, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:1, dfd:14, AtkRemAvg:0, DfdRemAvg:12, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:1, dfd:15, AtkRemAvg:0, DfdRemAvg:13, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:16, AtkRemAvg:0, DfdRemAvg:14, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:17, AtkRemAvg:0, DfdRemAvg:15, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:18, AtkRemAvg:0, DfdRemAvg:16, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:19, AtkRemAvg:0, DfdRemAvg:17, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:20, AtkRemAvg:0, DfdRemAvg:18, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:21, AtkRemAvg:0, DfdRemAvg:19, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:22, AtkRemAvg:0, DfdRemAvg:20, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:23, AtkRemAvg:0, DfdRemAvg:21, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:24, AtkRemAvg:0, DfdRemAvg:22, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:25, AtkRemAvg:0, DfdRemAvg:23, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:26, AtkRemAvg:0, DfdRemAvg:24, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:27, AtkRemAvg:0, DfdRemAvg:25, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:28, AtkRemAvg:0, DfdRemAvg:26, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:29, AtkRemAvg:0, DfdRemAvg:27, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:30, AtkRemAvg:0, DfdRemAvg:28, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:1, AtkRemAvg:0, DfdRemAvg:0, AtkSucAvg:0.567, DfdSucAvg:0.433
Atk:2, dfd:2, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.359, DfdSucAvg:0.641
Atk:2, dfd:3, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.205, DfdSucAvg:0.795
Atk:2, dfd:4, AtkRemAvg:0, DfdRemAvg:2, AtkSucAvg:0.129, DfdSucAvg:0.871
Atk:2, dfd:5, AtkRemAvg:0, DfdRemAvg:3, AtkSucAvg:0.072, DfdSucAvg:0.928
Atk:2, dfd:6, AtkRemAvg:0, DfdRemAvg:4, AtkSucAvg:0.048, DfdSucAvg:0.952
Atk:2, dfd:7, AtkRemAvg:0, DfdRemAvg:5, AtkSucAvg:0.027, DfdSucAvg:0.973
Atk:2, dfd:8, AtkRemAvg:0, DfdRemAvg:6, AtkSucAvg:0.016, DfdSucAvg:0.984
Atk:2, dfd:9, AtkRemAvg:0, DfdRemAvg:7, AtkSucAvg:0.008, DfdSucAvg:0.992
Atk:2, dfd:10, AtkRemAvg:0, DfdRemAvg:8, AtkSucAvg:0.004, DfdSucAvg:0.996
Atk:2, dfd:11, AtkRemAvg:0, DfdRemAvg:9, AtkSucAvg:0.002, DfdSucAvg:0.998
Atk:2, dfd:12, AtkRemAvg:0, DfdRemAvg:10, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:2, dfd:13, AtkRemAvg:0, DfdRemAvg:11, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:2, dfd:14, AtkRemAvg:0, DfdRemAvg:12, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:2, dfd:15, AtkRemAvg:0, DfdRemAvg:13, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:16, AtkRemAvg:0, DfdRemAvg:14, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:17, AtkRemAvg:0, DfdRemAvg:15, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:18, AtkRemAvg:0, DfdRemAvg:16, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:19, AtkRemAvg:0, DfdRemAvg:17, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:20, AtkRemAvg:0, DfdRemAvg:18, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:21, AtkRemAvg:0, DfdRemAvg:19, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:22, AtkRemAvg:0, DfdRemAvg:20, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:23, AtkRemAvg:0, DfdRemAvg:21, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:24, AtkRemAvg:0, DfdRemAvg:22, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:25, AtkRemAvg:0, DfdRemAvg:23, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:26, AtkRemAvg:0, DfdRemAvg:24, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:27, AtkRemAvg:0, DfdRemAvg:25, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:28, AtkRemAvg:0, DfdRemAvg:26, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:29, AtkRemAvg:0, DfdRemAvg:27, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:2, dfd:30, AtkRemAvg:0, DfdRemAvg:28, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:1, AtkRemAvg:1, DfdRemAvg:0, AtkSucAvg:0.639, DfdSucAvg:0.361
Atk:3, dfd:2, AtkRemAvg:0, DfdRemAvg:0, AtkSucAvg:0.438, DfdSucAvg:0.562
Atk:3, dfd:3, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.257, DfdSucAvg:0.743
Atk:3, dfd:4, AtkRemAvg:0, DfdRemAvg:2, AtkSucAvg:0.151, DfdSucAvg:0.849
Atk:3, dfd:5, AtkRemAvg:0, DfdRemAvg:3, AtkSucAvg:0.099, DfdSucAvg:0.901
Atk:3, dfd:6, AtkRemAvg:0, DfdRemAvg:4, AtkSucAvg:0.059, DfdSucAvg:0.941
Atk:3, dfd:7, AtkRemAvg:0, DfdRemAvg:5, AtkSucAvg:0.033, DfdSucAvg:0.967
Atk:3, dfd:8, AtkRemAvg:0, DfdRemAvg:6, AtkSucAvg:0.019, DfdSucAvg:0.981
Atk:3, dfd:9, AtkRemAvg:0, DfdRemAvg:7, AtkSucAvg:0.013, DfdSucAvg:0.987
Atk:3, dfd:10, AtkRemAvg:0, DfdRemAvg:8, AtkSucAvg:0.005, DfdSucAvg:0.995
Atk:3, dfd:11, AtkRemAvg:0, DfdRemAvg:9, AtkSucAvg:0.003, DfdSucAvg:0.997
Atk:3, dfd:12, AtkRemAvg:0, DfdRemAvg:9, AtkSucAvg:0.002, DfdSucAvg:0.998
Atk:3, dfd:13, AtkRemAvg:0, DfdRemAvg:10, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:3, dfd:14, AtkRemAvg:0, DfdRemAvg:11, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:3, dfd:15, AtkRemAvg:0, DfdRemAvg:12, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:3, dfd:16, AtkRemAvg:0, DfdRemAvg:14, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:17, AtkRemAvg:0, DfdRemAvg:14, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:18, AtkRemAvg:0, DfdRemAvg:16, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:19, AtkRemAvg:0, DfdRemAvg:16, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:20, AtkRemAvg:0, DfdRemAvg:17, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:21, AtkRemAvg:0, DfdRemAvg:18, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:3, dfd:22, AtkRemAvg:0, DfdRemAvg:19, AtkSucAvg:0.0, DfdSucAvg:1.0
