Atk:1, dfd:1, AtkRemAvg:0, DfdRemAvg:0, AtkSucAvg:0.415, DfdSucAvg:0.585
Atk:1, dfd:2, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.242, DfdSucAvg:0.758
Atk:1, dfd:3, AtkRemAvg:0, DfdRemAvg:1, AtkSucAvg:0.141, DfdSucAvg:0.859
Atk:1, dfd:4, AtkRemAvg:0, DfdRemAvg:2, AtkSucAvg:0.084, DfdSucAvg:0.916
Atk:1, dfd:5, AtkRemAvg:0, DfdRemAvg:3, AtkSucAvg:0.04, DfdSucAvg:0.96
Atk:1, dfd:6, AtkRemAvg:0, DfdRemAvg:4, AtkSucAvg:0.03, DfdSucAvg:0.97
Atk:1, dfd:7, AtkRemAvg:0, DfdRemAvg:5, AtkSucAvg:0.016, DfdSucAvg:0.984
Atk:1, dfd:8, AtkRemAvg:0, DfdRemAvg:6, AtkSucAvg:0.009, DfdSucAvg:0.991
Atk:1, dfd:9, AtkRemAvg:0, DfdRemAvg:7, AtkSucAvg:0.004, DfdSucAvg:0.996
Atk:1, dfd:10, AtkRemAvg:0, DfdRemAvg:8, AtkSucAvg:0.002, DfdSucAvg:0.998
Atk:1, dfd:11, AtkRemAvg:0, DfdRemAvg:9, AtkSucAvg:0.002, DfdSucAvg:0.998
Atk:1, dfd:12, AtkRemAvg:0, DfdRemAvg:10, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:13, AtkRemAvg:0, DfdRemAvg:11, AtkSucAvg:0.001, DfdSucAvg:0.999
Atk:1, dfd:14, AtkRemAvg:0, DfdRemAvg:12, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:15, AtkRemAvg:0, DfdRemAvg:13, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:16, AtkRemAvg:0, DfdRemAvg:14, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:17, AtkRemAvg:0, DfdRemAvg:15, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:18, AtkRemAvg:0, DfdRemAvg:16, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:19, AtkRemAvg:0, DfdRemAvg:17, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:20, AtkRemAvg:0, DfdRemAvg:18, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:21, AtkRemAvg:0, DfdRemAvg:19, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:22, AtkRemAvg:0, DfdRemAvg:20, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:23, AtkRemAvg:0, DfdRemAvg:21, AtkSucAvg:0.0, DfdSucAvg:1.0
Atk:1, dfd:24, AtkRemAvg:0, DfdRemAvg:22, AtkSucAvg:0.0, DfdSucAvg:1.0
