0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,9,8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,10,9,8,7,6,5,4,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,11,10,9,8,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12,11,10,9,8,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,13,12,11,10,9,8,6,6,5,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,14,13,12,11,10,8,8,7,5,5,4,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
16,15,14,13,12,11,9,9,8,6,6,4,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0
17,16,15,14,13,12,11,10,8,7,6,6,4,4,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
18,17,16,15,14,13,12,11,9,8,7,6,5,5,4,3,3,2,1,1,1,1,0,0,0,0,0,0,0,0
19,18,17,16,15,14,13,12,11,9,8,7,6,5,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
20,19,18,17,16,15,13,12,11,10,9,8,7,6,5,4,4,3,2,2,1,1,1,1,0,0,0,0,0,0
21,20,19,18,17,16,15,13,12,11,10,9,8,7,6,5,4,4,3,3,2,1,1,1,1,1,0,0,0,0
22,21,20,19,18,17,15,14,13,12,11,10,9,8,7,6,5,4,4,3,2,2,2,1,1,1,1,0,0,0
23,22,21,20,19,18,17,15,14,13,12,11,10,8,8,7,6,5,4,4,3,2,2,2,1,1,1,0,0,0
24,23,22,21,20,19,17,16,15,14,13,12,11,10,8,7,7,5,5,4,4,3,2,2,2,1,1,1,0,0
25,24,23,22,21,20,18,17,16,15,14,13,12,10,10,9,8,7,5,5,4,3,3,2,2,2,1,1,1,1
26,25,24,23,22,21,20,18,17,16,15,14,13,12,10,10,8,8,7,6,5,4,3,3,2,2,2,1,1,1
27,26,25,24,23,22,21,19,18,17,16,15,14,13,11,10,9,8,8,6,6,5,4,3,3,2,2,2,1,1
28,27,26,25,24,23,22,20,19,18,17,16,15,14,13,11,10,9,8,7,7,6,5,4,3,3,2,2,1,1
29,28,27,26,25,24,22,22,20,19,18,17,16,15,13,12,11,10,9,8,7,7,6,5,4,3,3,3,2,2
